[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [50741.890625, 95.9880142211914, -10645.91015625, 0.0]]
[[0.8290389180183411, 0.0, 0.5591931939125061, 0.0], [0.0, 0.9999984502792358, 0.0, 0.0], [-0.5591946244239807, 0.0, 0.8290404677391052, 0.0], [1336.40771484375, 86.67488861083984, -788.3817138671875, 0.0]]
[[-1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [803.3999633789062, 2.879999876022339, 483.77777099609375, 0.0]]
[[0.2419227808713913, 0.0, 0.9702994227409363, 0.0], [0.0, 0.9999992847442627, 0.0, 0.0], [-0.9702994227409363, 0.0, 0.2419227808713913, 0.0], [-121108.34375, -91.14309692382812, -863.456298828125, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-122044.1171875, -89.59562683105469, -413.96435546875, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-121899.5, -89.59725952148438, -419.3477478027344, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-122190.609375, -89.59734344482422, -582.577392578125, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-122041.4453125, -89.59591674804688, -904.2329711914062, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-92.4715805053711, 0.0, 0.0, 0.0]]
[[1.0, 0.0, 0.0, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [0.0, 0.0, 1.0, -107374176.0], [0.0, 0.0, 0.0, -107374176.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-121750.859375, -89.59538269042969, -418.0864562988281, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-121902.109375, -89.59691619873047, -580.4762573242188, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-121896.4921875, -89.59620666503906, -905.8211059570312, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-122186.4375, -89.59548950195312, -415.32635498046875, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-122049.1875, -89.59769439697266, -581.2678833007812, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-122187.5078125, -89.59613037109375, -904.8627319335938, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-121898.6328125, -89.5960922241211, -738.1721801757812, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [16.018314361572266, 364.2288513183594, 5005.27783203125, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-122187.09375, -89.59553527832031, -737.4546508789062, 0.0]]
[[1.0, 0.0, 0.0, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [0.0, 0.0, 1.0, -107374176.0], [-120444.484375, 313.20001220703125, -65260.203125, -107374176.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [1907.9593505859375, -6.0051751136779785, 117705.0, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-122045.1875, -89.59506225585938, -738.9004516601562, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-121755.625, -89.5965576171875, -904.3118896484375, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-121751.046875, -89.594970703125, -577.3782958984375, 0.0]]
[[0.9612647891044617, 0.0, 0.27563828229904175, 0.0], [0.0, 0.9999998807907104, 0.0, 0.0], [-0.27563828229904175, 0.0, 0.9612647891044617, 0.0], [124241.1796875, 1636.6661376953125, -4063.89404296875, 0.0]]
[[1.0, 0.0, 0.0, 4.203895392974451e-45], [0.0, 1.0, 0.0, -107374176.0], [0.0, 0.0, 1.0, -107374176.0], [-122886.59375, -464.4000244140625, -1063.4400634765625, -107374176.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-34.84590530395508, 382.4167785644531, 2553.183837890625, 0.0]]
[[-1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [617.2799682617188, 31.646514892578125, 646.3200073242188, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0]]
[[-1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [522.3599853515625, 29.521047592163086, 567.0, 0.0]]
[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [-121753.6875, -89.59480285644531, -736.9329833984375, 0.0]]
[[-1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, -1.0, 0.0], [714.0, 28.9285831451416, 694.199951171875, 0.0]]
[[-0.9993960857391357, 0.0, 0.03489982336759567, 0.0], [0.0, 0.9999994039535522, 0.0, 0.0], [-0.034899353981018066, 0.0, -0.999395489692688, 0.0], [128.4817352294922, -338.1399230957031, 1818.4722900390625, 0.0]]
[[-0.9702979326248169, 0.0, 0.24192291498184204, 0.0], [0.0, 0.9999992847442627, 0.0, 0.0], [-0.24192291498184204, 0.0, -0.9702979326248169, 0.0], [1225.7813720703125, -6.100872993469238, 660.1279296875, 0.0]]
